"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_OZL_data_81","Технічні дані 81 (не налаштовано)","Technical data 81 (not configured)","Технічні дані 81 (не налаштовано)","Технічні дані 81 (не налаштовано)","Технічні дані 81 (не налаштовано)","Технічні дані 81 (не налаштовано)","Технічні дані 81 (не налаштовано)","Технічні дані 81 (не налаштовано)","Технічні дані 81 (не налаштовано)","Технічні дані 81 (не налаштовано)","Технічні дані 81 (не налаштовано)","Технічні дані 81 (не налаштовано)","Технічні дані 81 (не налаштовано)","Технічні дані 81 (не налаштовано)",
"STR_OZL_data_81_desc","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of technical data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"STR_OZL_data_82","Технічні дані 82 (не налаштовано)","Technical data 82 (not configured)","Технічні дані 82 (не налаштовано)","Технічні дані 82 (не налаштовано)","Технічні дані 82 (не налаштовано)","Технічні дані 82 (не налаштовано)","Технічні дані 82 (не налаштовано)","Технічні дані 82 (не налаштовано)","Технічні дані 82 (не налаштовано)","Технічні дані 82 (не налаштовано)","Технічні дані 82 (не налаштовано)","Технічні дані 82 (не налаштовано)","Технічні дані 82 (не налаштовано)","Технічні дані 82 (не налаштовано)",
"STR_OZL_data_82_desc","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of technical data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"STR_OZL_data_83","Технічні дані 83 (не налаштовано)","Technical data 83 (not configured)","Технічні дані 83 (не налаштовано)","Технічні дані 83 (не налаштовано)","Технічні дані 83 (не налаштовано)","Технічні дані 83 (не налаштовано)","Технічні дані 83 (не налаштовано)","Технічні дані 83 (не налаштовано)","Технічні дані 83 (не налаштовано)","Технічні дані 83 (не налаштовано)","Технічні дані 83 (не налаштовано)","Технічні дані 83 (не налаштовано)","Технічні дані 83 (не налаштовано)","Технічні дані 83 (не налаштовано)",
"STR_OZL_data_83_desc","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of technical data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"STR_OZL_data_84","Технічні дані 84 (не налаштовано)","Technical data 84 (not configured)","Технічні дані 84 (не налаштовано)","Технічні дані 84 (не налаштовано)","Технічні дані 84 (не налаштовано)","Технічні дані 84 (не налаштовано)","Технічні дані 84 (не налаштовано)","Технічні дані 84 (не налаштовано)","Технічні дані 84 (не налаштовано)","Технічні дані 84 (не налаштовано)","Технічні дані 84 (не налаштовано)","Технічні дані 84 (не налаштовано)","Технічні дані 84 (не налаштовано)","Технічні дані 84 (не налаштовано)",
"STR_OZL_data_84_desc","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of technical data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"STR_OZL_data_85","Технічні дані 85 (не налаштовано)","Technical data 85 (not configured)","Технічні дані 85 (не налаштовано)","Технічні дані 85 (не налаштовано)","Технічні дані 85 (не налаштовано)","Технічні дані 85 (не налаштовано)","Технічні дані 85 (не налаштовано)","Технічні дані 85 (не налаштовано)","Технічні дані 85 (не налаштовано)","Технічні дані 85 (не налаштовано)","Технічні дані 85 (не налаштовано)","Технічні дані 85 (не налаштовано)","Технічні дані 85 (не налаштовано)","Технічні дані 85 (не налаштовано)",
"STR_OZL_data_85_desc","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of technical data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"STR_OZL_data_86","Технічні дані 86 (не налаштовано)","Technical data 86 (not configured)","Технічні дані 86 (не налаштовано)","Технічні дані 86 (не налаштовано)","Технічні дані 86 (не налаштовано)","Технічні дані 86 (не налаштовано)","Технічні дані 86 (не налаштовано)","Технічні дані 86 (не налаштовано)","Технічні дані 86 (не налаштовано)","Технічні дані 86 (не налаштовано)","Технічні дані 86 (не налаштовано)","Технічні дані 86 (не налаштовано)","Технічні дані 86 (не налаштовано)","Технічні дані 86 (не налаштовано)",
"STR_OZL_data_86_desc","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of technical data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"STR_OZL_data_87","Технічні дані 87 (не налаштовано)","Technical data 87 (not configured)","Технічні дані 87 (не налаштовано)","Технічні дані 87 (не налаштовано)","Технічні дані 87 (не налаштовано)","Технічні дані 87 (не налаштовано)","Технічні дані 87 (не налаштовано)","Технічні дані 87 (не налаштовано)","Технічні дані 87 (не налаштовано)","Технічні дані 87 (не налаштовано)","Технічні дані 87 (не налаштовано)","Технічні дані 87 (не налаштовано)","Технічні дані 87 (не налаштовано)","Технічні дані 87 (не налаштовано)",
"STR_OZL_data_87_desc","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of technical data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"STR_OZL_data_88","Технічні дані 88 (не налаштовано)","Technical data 88 (not configured)","Технічні дані 88 (не налаштовано)","Технічні дані 88 (не налаштовано)","Технічні дані 88 (не налаштовано)","Технічні дані 88 (не налаштовано)","Технічні дані 88 (не налаштовано)","Технічні дані 88 (не налаштовано)","Технічні дані 88 (не налаштовано)","Технічні дані 88 (не налаштовано)","Технічні дані 88 (не налаштовано)","Технічні дані 88 (не налаштовано)","Технічні дані 88 (не налаштовано)","Технічні дані 88 (не налаштовано)",
"STR_OZL_data_88_desc","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of technical data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"STR_OZL_data_89","Технічні дані 89 (не налаштовано)","Technical data 89 (not configured)","Технічні дані 89 (не налаштовано)","Технічні дані 89 (не налаштовано)","Технічні дані 89 (не налаштовано)","Технічні дані 89 (не налаштовано)","Технічні дані 89 (не налаштовано)","Технічні дані 89 (не налаштовано)","Технічні дані 89 (не налаштовано)","Технічні дані 89 (не налаштовано)","Технічні дані 89 (не налаштовано)","Технічні дані 89 (не налаштовано)","Технічні дані 89 (не налаштовано)","Технічні дані 89 (не налаштовано)",
"STR_OZL_data_89_desc","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of technical data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"STR_OZL_data_90","Технічні дані 90 (не налаштовано)","Technical data 90 (not configured)","Технічні дані 90 (не налаштовано)","Технічні дані 90 (не налаштовано)","Технічні дані 90 (не налаштовано)","Технічні дані 90 (не налаштовано)","Технічні дані 90 (не налаштовано)","Технічні дані 90 (не налаштовано)","Технічні дані 90 (не налаштовано)","Технічні дані 90 (не налаштовано)","Технічні дані 90 (не налаштовано)","Технічні дані 90 (не налаштовано)","Технічні дані 90 (не налаштовано)","Технічні дані 90 (не налаштовано)",
"STR_OZL_data_90_desc","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","A blank carrier of technical data. Its name, description and points appear once an administrator defines it in DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.","Заготовка носія технічних даних. Назва, опис і бали з'являться, коли адміністратор опише її в DataItems.json.",
"STR_OZL_sample_01","Зразок №01 (не налаштовано)","Sample #01 (not configured)","Зразок №01 (не налаштовано)","Зразок №01 (не налаштовано)","Зразок №01 (не налаштовано)","Зразок №01 (не налаштовано)","Зразок №01 (не налаштовано)","Зразок №01 (не налаштовано)","Зразок №01 (не налаштовано)","Зразок №01 (не налаштовано)","Зразок №01 (не налаштовано)","Зразок №01 (не налаштовано)","Зразок №01 (не налаштовано)","Зразок №01 (не налаштовано)",
"STR_OZL_sample_01_desc","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","A sample prepared for analysis. Its description appears once an administrator defines this type in SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.",
"STR_OZL_sample_02","Зразок №02 (не налаштовано)","Sample #02 (not configured)","Зразок №02 (не налаштовано)","Зразок №02 (не налаштовано)","Зразок №02 (не налаштовано)","Зразок №02 (не налаштовано)","Зразок №02 (не налаштовано)","Зразок №02 (не налаштовано)","Зразок №02 (не налаштовано)","Зразок №02 (не налаштовано)","Зразок №02 (не налаштовано)","Зразок №02 (не налаштовано)","Зразок №02 (не налаштовано)","Зразок №02 (не налаштовано)",
"STR_OZL_sample_02_desc","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","A sample prepared for analysis. Its description appears once an administrator defines this type in SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.",
"STR_OZL_sample_03","Зразок №03 (не налаштовано)","Sample #03 (not configured)","Зразок №03 (не налаштовано)","Зразок №03 (не налаштовано)","Зразок №03 (не налаштовано)","Зразок №03 (не налаштовано)","Зразок №03 (не налаштовано)","Зразок №03 (не налаштовано)","Зразок №03 (не налаштовано)","Зразок №03 (не налаштовано)","Зразок №03 (не налаштовано)","Зразок №03 (не налаштовано)","Зразок №03 (не налаштовано)","Зразок №03 (не налаштовано)",
"STR_OZL_sample_03_desc","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","A sample prepared for analysis. Its description appears once an administrator defines this type in SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.",
"STR_OZL_sample_04","Зразок №04 (не налаштовано)","Sample #04 (not configured)","Зразок №04 (не налаштовано)","Зразок №04 (не налаштовано)","Зразок №04 (не налаштовано)","Зразок №04 (не налаштовано)","Зразок №04 (не налаштовано)","Зразок №04 (не налаштовано)","Зразок №04 (не налаштовано)","Зразок №04 (не налаштовано)","Зразок №04 (не налаштовано)","Зразок №04 (не налаштовано)","Зразок №04 (не налаштовано)","Зразок №04 (не налаштовано)",
"STR_OZL_sample_04_desc","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","A sample prepared for analysis. Its description appears once an administrator defines this type in SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.","Зразок, підготовлений до аналізу. Опис з'явиться, коли адміністратор опише цей тип у SampleTypes.json.",
